model,fold,test_year,base_seed,arm,window,models_in_arm,unique_fits_executed_when_reached,identical_fits_reused_when_reached,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
cnn,fold_3,2024,123,Regime-Spearman,20,3,2,1,10.82030860001396,0.7021607000206131,23187,244,19.462046560648965,15.02126461887948,1.7565650347579371,0.8046796713689309,0.5,0.5119456221818427,0.0293541709530793,1.0,244,0,0,28,99,23,94,0.7909836065573771
cnn,fold_3,2024,2025,Global-All,20,1,1,0,6.27433060000476,0.2655648000072688,12017,244,22.7697431172888,18.308563774042472,2.1626689029547856,0.7326459951956255,0.5163934426229508,0.5327410996702335,0.1078762862869492,1.0,244,0,0,17,110,8,109,0.8975409836065574
cnn,fold_3,2024,2025,Global3-All,20,3,3,0,19.059524900003453,0.685848499997519,36051,244,24.78034112176501,21.087872490211943,2.479259667548722,0.6833459894686187,0.5,0.5176660609731476,0.0693309454750743,1.0,244,0,0,11,116,6,111,0.930327868852459
cnn,fold_3,2024,2025,Global-SHAP,20,1,0,1,6.27433060000476,0.2655648000072688,12017,244,22.7697431172888,18.308563774042472,2.1626689029547856,0.7326459951956255,0.5163934426229508,0.5327410996702335,0.1078762862869492,1.0,244,0,0,17,110,8,109,0.8975409836065574
cnn,fold_3,2024,2025,Global-Spearman,20,1,0,1,6.27433060000476,0.2655648000072688,12017,244,22.7697431172888,18.308563774042472,2.1626689029547856,0.7326459951956255,0.5163934426229508,0.5327410996702335,0.1078762862869492,1.0,244,0,0,17,110,8,109,0.8975409836065574
cnn,fold_3,2024,2025,Regime-All,20,3,3,0,10.834447300003376,0.660661900008563,36051,244,20.57496978785467,16.295224605466522,1.893407176437764,0.7817024587131454,0.4959016393442623,0.509354599905781,0.0247599449433765,1.0,244,0,0,23,104,19,98,0.8278688524590164
cnn,fold_3,2024,2025,Regime-SHAP,20,3,2,1,10.752914100012276,0.6718233999999939,23187,244,19.425920140785504,15.2833016461134,1.7544091040608376,0.8054041249993009,0.4918032786885246,0.4953227000471095,-0.0094883632614733,1.0,244,0,0,52,75,49,68,0.5860655737704918
cnn,fold_3,2024,2025,Regime-Spearman,20,3,2,1,10.585138299997196,0.6530500999942888,23187,244,14.9422043745093,11.592199325160903,1.3492191795866093,0.8848670118663999,0.4754098360655737,0.4792381721515579,-0.0422463092932536,1.0,244,0,0,49,78,50,67,0.5942622950819673
cnn,fold_3,2024,42,Global-All,20,1,1,0,6.439145799988182,0.2331618000025628,12017,244,24.458093162726588,19.933210614646093,2.359735266422467,0.6915280905755508,0.5368852459016393,0.5510801534423582,0.1407510267794647,1.0,244,0,0,26,101,12,105,0.8442622950819673
cnn,fold_3,2024,42,Global3-All,20,3,3,0,19.124396299986984,0.6999860999931116,36051,244,22.701271145924537,18.340881869226227,2.1627605881938137,0.7342515232741116,0.5081967213114754,0.524194091123225,0.0770588192267272,1.0,244,0,0,17,110,10,107,0.889344262295082
cnn,fold_3,2024,42,Global-SHAP,20,1,0,1,6.439145799988182,0.2331618000025628,12017,244,24.458093162726588,19.933210614646093,2.359735266422467,0.6915280905755508,0.5368852459016393,0.5510801534423582,0.1407510267794647,1.0,244,0,0,26,101,12,105,0.8442622950819673
cnn,fold_3,2024,42,Global-Spearman,20,1,0,1,6.439145799988182,0.2331618000025628,12017,244,24.458093162726588,19.933210614646093,2.359735266422467,0.6915280905755508,0.5368852459016393,0.5510801534423582,0.1407510267794647,1.0,244,0,0,26,101,12,105,0.8442622950819673
