stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds
outer_test,cnn,full_ta_vmd,20,456,fold_2,2012,2022,2023,2599,243,23.41937810825975,19.02463802198325,2.095105059336963,0.722961275923619,0.512396694214876,0.5256304824561404,0.0574534199838117,1.0,242,1,0,38,90,28,86,0.7272727272727273,6.358963499995298
outer_test,cnn,full_ta_vmd,20,456,fold_3,2012,2023,2024,2842,244,26.92289650835353,23.81070189057807,2.770990350025838,0.626221776620906,0.4795081967213114,0.4989905108015344,-0.0065127192892501,1.0,244,0,0,3,124,3,114,0.9754098360655736,6.586049400000775
outer_test,cnn,full_ta_vmd,20,456,fold_4,2012,2024,2025,3086,234,24.328513065383586,19.73064348942195,2.516470068631312,0.7715191318784572,0.5427350427350427,0.5442982456140351,0.0892083097882237,1.0,234,0,0,58,62,45,69,0.5598290598290598,7.066331199996057
outer_test,cnn,full_ta_vmd,20,789,fold_1,2012,2021,2022,2358,241,17.939757709026022,14.230606978503491,1.448142030205655,0.3502860752121016,0.475,0.4760733609725247,-0.0475865167094616,1.0,240,1,0,52,55,71,62,0.4875,5.922837300000538
outer_test,cnn,full_ta_vmd,20,789,fold_2,2012,2022,2023,2599,243,16.984368148149546,14.04219317650108,1.5050417125194495,0.8542902706857084,0.5289256198347108,0.5239857456140351,0.0486291252348019,1.0,242,1,0,78,50,64,50,0.4132231404958678,6.282117599999765
outer_test,cnn,full_ta_vmd,20,789,fold_3,2012,2023,2024,2842,244,22.36927881652032,18.721641511448123,2.200875711452724,0.7419675076384509,0.5081967213114754,0.524867083922202,0.0850334093615905,1.0,244,0,0,15,112,8,109,0.9057377049180328,6.661527299998852
outer_test,cnn,full_ta_vmd,20,789,fold_4,2012,2024,2025,3086,234,24.31508537129041,19.339823705966676,2.494454432278196,0.7717712742546651,0.5256410256410257,0.5300438596491228,0.0639195310456749,1.0,234,0,0,43,77,34,80,0.6709401709401709,7.182289500000479
outer_test,cnn,full_ta_vmd,20,2025,fold_1,2012,2021,2022,2358,241,23.457568851524144,18.880415851822544,1.923478973452952,-0.1108489981586864,0.5041666666666667,0.4695031972454501,-0.078351558939523,1.0,240,1,0,16,91,28,105,0.8166666666666667,5.9851797000010265
outer_test,cnn,full_ta_vmd,20,2025,fold_2,2012,2022,2023,2599,243,18.249248683528,15.039169916910398,1.6112213039873682,0.831779182042184,0.5330578512396694,0.526452850877193,0.0542906800073093,1.0,242,1,0,82,46,67,47,0.384297520661157,6.214561100001447
outer_test,cnn,full_ta_vmd,20,2025,fold_3,2012,2023,2024,2842,244,22.7697431172888,18.308563774042472,2.1626689029547856,0.7326459951956255,0.5163934426229508,0.5327410996702335,0.1078762862869492,1.0,244,0,0,17,110,8,109,0.8975409836065574,6.97957999999926
outer_test,cnn,full_ta_vmd,20,2025,fold_4,2012,2024,2025,3086,234,29.953481427154884,23.522087382445,3.062747613790428,0.6536514916756951,0.5427350427350427,0.55,0.1210688496072652,1.0,234,0,0,32,88,19,95,0.782051282051282,7.042735499999253
outer_test,lstm_cnn,full_ta,20,42,fold_1,2012,2021,2022,2358,241,22.10910535799897,16.913028670841225,1.7189132008104249,0.0131949421783236,0.5,0.5150727285503478,0.0311698161837447,1.0,240,1,0,70,37,83,50,0.3625,12.666469299998424
outer_test,lstm_cnn,full_ta,20,42,fold_2,2012,2022,2023,2599,243,21.817450075058694,17.7646099823885,1.9085792522028215,0.7595649693674728,0.5495867768595041,0.5478344298245614,0.0957180694973691,1.0,242,1,0,74,54,55,59,0.4669421487603306,13.827014099995722
outer_test,lstm_cnn,full_ta,20,42,fold_3,2012,2023,2024,2842,244,25.0618717703915,19.911835816336488,2.348872026774623,0.6761100749338187,0.5040983606557377,0.5189110976512551,0.0545622684907679,1.0,244,0,0,20,107,14,103,0.860655737704918,14.234037700000044
outer_test,lstm_cnn,full_ta,20,42,fold_4,2012,2024,2025,3086,234,23.687118582459508,18.376509181892786,2.3867507298609763,0.7834076185267864,0.5042735042735043,0.5072368421052632,0.0148702969369865,1.0,234,0,0,47,73,43,71,0.6153846153846154,15.230707999995502
outer_test,lstm_cnn,full_ta,20,123,fold_1,2012,2021,2022,2358,241,27.92355346890044,22.23062862156833,2.264123870724872,-0.5740930349230464,0.4875,0.4718220785608882,-0.0584180522637316,1.0,240,1,0,35,72,51,82,0.6416666666666667,12.558997899999667
outer_test,lstm_cnn,full_ta,20,123,fold_2,2012,2022,2023,2599,243,24.760835053186486,19.863815875328125,2.1371102172887566,0.6903148819818825,0.5413223140495868,0.5400219298245614,0.0800082279533671,1.0,242,1,0,72,56,55,59,0.4752066115702479,13.412209499998426
outer_test,lstm_cnn,full_ta,20,123,fold_3,2012,2023,2024,2842,244,21.143045635478817,16.514794000670566,1.930863983602603,0.7694816373081114,0.4795081967213114,0.4858671512214819,-0.0297204146784222,1.0,244,0,0,42,85,42,75,0.6557377049180327,14.377731000000496
