model,fold,test_year,arm,base_seed,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
pit_dern,fold_4,2025,Regime-SHAP-Numeric,42,234,19.948682471878385,15.683681633144598,1.9692829603413728,0.8463802184309301,0.4743589743589743,0.4765350877192982,-0.0476152236611346,1.0,234,0,0,47,73,50,64,0.5854700854700855
pit_dern,fold_4,2025,Regime-SHAP-Numeric-News,42,234,21.10708241661091,16.526716456546247,2.0822286037281126,0.8280211185822915,0.4743589743589743,0.4791666666666666,-0.0449528715084316,1.0,234,0,0,35,85,38,76,0.688034188034188
pit_dern,fold_4,2025,Global-Numeric,456,234,25.65988064797677,20.39744590562833,2.582385491070358,0.7458278444549451,0.5598290598290598,0.5629385964912281,0.129601818091709,1.0,234,0,0,53,67,36,78,0.6196581196581197
pit_dern,fold_4,2025,Global-Numeric-News,456,234,25.57346976172376,20.309558338881008,2.547216158866613,0.7475368360426289,0.5341880341880342,0.5355263157894737,0.0714058365637314,1.0,234,0,0,58,62,47,67,0.5512820512820513
pit_dern,fold_4,2025,Regime-SHAP-Numeric,456,234,23.70995897934717,18.838484660048135,2.38420785451061,0.7829897170376284,0.5,0.5021929824561404,0.0044500209029097,1.0,234,0,0,50,70,47,67,0.5854700854700855
pit_dern,fold_4,2025,Regime-SHAP-Numeric-News,456,234,25.268903821677124,19.352571811392565,2.448974125263772,0.7535144224073156,0.4957264957264957,0.4958333333333333,-0.0083308977543442,1.0,234,0,0,59,61,57,57,0.5042735042735043
pit_dern,fold_4,2025,Global-Numeric,789,234,18.23434896806097,14.061634022863789,1.7895596234362248,0.8716490072522018,0.5384615384615384,0.5392543859649123,0.0786238031591798,1.0,234,0,0,61,59,49,65,0.5299145299145299
pit_dern,fold_4,2025,Global-Numeric-News,789,234,22.314905374128564,17.509455346539667,2.21830702447162,0.807775470240674,0.5341880341880342,0.5344298245614035,0.0688470685711129,1.0,234,0,0,63,57,52,62,0.5085470085470085
pit_dern,fold_4,2025,Regime-SHAP-Numeric,789,234,18.173030461170963,14.053070412768651,1.7809834990215083,0.8725107937772911,0.5427350427350427,0.5447368421052632,0.0905219472341654,1.0,234,0,0,56,64,43,71,0.5769230769230769
pit_dern,fold_4,2025,Regime-SHAP-Numeric-News,789,234,21.113056662400147,16.219495421704575,2.0690495435064453,0.8279237494154763,0.5085470085470085,0.5100877192982456,0.02031476361514,1.0,234,0,0,54,66,49,65,0.5598290598290598
